CIK,URL,Ticker,Company,Form,FiledAt,Age,RunwayQuarters,HasRunway,RunwaySourceURL,RunwayReasonCode,RunwayReasonDetail,Desc,Accession,MasterTxtURL
0001481513,https://www.sec.gov/Archives/edgar/data/1481513/000110465925113038/tm2531464d1_6k.htm,JKS,"JinkoSolar Holding Co., Ltd.",6-K,2025-11-17,15,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-113038,https://www.sec.gov/Archives/edgar/data/1481513/000110465925113038/0001104659-25-113038.txt
0001481513,https://www.sec.gov/Archives/edgar/data/1481513/000110465925104062/tm2529838d1_6k.htm,JKS,"JinkoSolar Holding Co., Ltd.",6-K,2025-10-30,33,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-104062,https://www.sec.gov/Archives/edgar/data/1481513/000110465925104062/0001104659-25-104062.txt
0001481513,https://www.sec.gov/Archives/edgar/data/1481513/000110465925091055/tm2526449d1_6k.htm,JKS,"JinkoSolar Holding Co., Ltd.",6-K,2025-09-18,75,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-091055,https://www.sec.gov/Archives/edgar/data/1481513/000110465925091055/0001104659-25-091055.txt
0001481513,https://www.sec.gov/Archives/edgar/data/1481513/000141057825002285/tm2525986d1_6k.htm,JKS,"JinkoSolar Holding Co., Ltd.",6-K,2025-09-12,81,,False,,NO_CASHFLOW,cashflow statement missing,,0001410578-25-002285,https://www.sec.gov/Archives/edgar/data/1481513/000141057825002285/0001410578-25-002285.txt
0001481513,https://www.sec.gov/Archives/edgar/data/1481513/000110465925083648/tm2524499d1_6k.htm,JKS,"JinkoSolar Holding Co., Ltd.",6-K,2025-08-27,97,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-083648,https://www.sec.gov/Archives/edgar/data/1481513/000110465925083648/0001104659-25-083648.txt
0001481513,https://www.sec.gov/Archives/edgar/data/1481513/000110465925059407/tm2517976d1_6k.htm,JKS,"JinkoSolar Holding Co., Ltd.",6-K,2025-06-13,172,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-059407,https://www.sec.gov/Archives/edgar/data/1481513/000110465925059407/0001104659-25-059407.txt
0001481513,https://www.sec.gov/Archives/edgar/data/1481513/000141057825000970/jks-20241231x20f.htm,JKS,"JinkoSolar Holding Co., Ltd.",20-F,2025-04-29,217,,False,,PARSER_ERROR,,,0001410578-25-000970,https://www.sec.gov/Archives/edgar/data/1481513/000141057825000970/0001410578-25-000970.txt
0001823986,https://www.sec.gov/Archives/edgar/data/1823986/000110465925087282/tm2524976d1_6k.htm,WDH,Waterdrop Inc.,6-K,2025-09-04,89,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-087282,https://www.sec.gov/Archives/edgar/data/1823986/000110465925087282/0001104659-25-087282.txt
0001823986,https://www.sec.gov/Archives/edgar/data/1823986/000110465925056664/tm2517246d1_6k.htm,WDH,Waterdrop Inc.,6-K,2025-06-05,180,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-056664,https://www.sec.gov/Archives/edgar/data/1823986/000110465925056664/0001104659-25-056664.txt
0001823986,https://www.sec.gov/Archives/edgar/data/1823986/000141057825000891/wdh-20241231x20f.htm,WDH,Waterdrop Inc.,20-F,2025-04-25,221,,False,,PARSER_ERROR,,,0001410578-25-000891,https://www.sec.gov/Archives/edgar/data/1823986/000141057825000891/0001410578-25-000891.txt
