CIK,URL,Ticker,Company,Form,FiledAt,Age,RunwayQuarters,HasRunway,RunwaySourceURL,RunwayReasonCode,RunwayReasonDetail,Desc,Accession,MasterTxtURL,RunwayErrorType,RunwayErrorMessage,RunwayErrorStage
0001823986,https://www.sec.gov/Archives/edgar/data/1823986/000110465925117944/tm2532559d1_6k.htm,WDH,Waterdrop Inc.,6-K,2025-12-03,5,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-117944,https://www.sec.gov/Archives/edgar/data/1823986/000110465925117944/0001104659-25-117944.txt,,,
0001823986,https://www.sec.gov/Archives/edgar/data/1823986/000110465925117939/tm2532559d2_6k.htm,WDH,Waterdrop Inc.,6-K,2025-12-03,5,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-117939,https://www.sec.gov/Archives/edgar/data/1823986/000110465925117939/0001104659-25-117939.txt,,,
0001823986,https://www.sec.gov/Archives/edgar/data/1823986/000110465925087282/tm2524976d1_6k.htm,WDH,Waterdrop Inc.,6-K,2025-09-04,95,,False,,NO_CASHFLOW,cashflow statement missing,,0001104659-25-087282,https://www.sec.gov/Archives/edgar/data/1823986/000110465925087282/0001104659-25-087282.txt,,,
0001823986,https://www.sec.gov/Archives/edgar/data/1823986/000141057825000891/wdh-20241231x20f.htm,WDH,Waterdrop Inc.,20-F,2025-04-25,227,,False,,OK,,,0001410578-25-000891,https://www.sec.gov/Archives/edgar/data/1823986/000141057825000891/0001410578-25-000891.txt,,,
0001713334,https://www.sec.gov/Archives/edgar/data/1713334/000119312525301156/d935403d6k.htm,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,6-K,2025-11-28,10,,False,,NO_CASHFLOW,cashflow statement missing,,0001193125-25-301156,https://www.sec.gov/Archives/edgar/data/1713334/000119312525301156/0001193125-25-301156.txt,,,
0001713334,https://www.sec.gov/Archives/edgar/data/1713334/000119312525270815/d66483d6k.htm,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,6-K,2025-11-07,31,,False,,NO_CASHFLOW,cashflow statement missing,,0001193125-25-270815,https://www.sec.gov/Archives/edgar/data/1713334/000119312525270815/0001193125-25-270815.txt,,,
0001713334,https://www.sec.gov/Archives/edgar/data/1713334/000119312525257340/d917899d6k.htm,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,6-K,2025-10-30,39,,False,,NO_CASHFLOW,cashflow statement missing,,0001193125-25-257340,https://www.sec.gov/Archives/edgar/data/1713334/000119312525257340/0001193125-25-257340.txt,,,
0001713334,https://www.sec.gov/Archives/edgar/data/1713334/000119312525204377/d62983d6k.htm,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,6-K,2025-09-16,83,,False,,NO_CASHFLOW,cashflow statement missing,,0001193125-25-204377,https://www.sec.gov/Archives/edgar/data/1713334/000119312525204377/0001193125-25-204377.txt,,,
0001713334,https://www.sec.gov/Archives/edgar/data/1713334/000119312525191663/d18206d6k.htm,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,6-K,2025-08-29,101,,False,,NO_CASHFLOW,cashflow statement missing,,0001193125-25-191663,https://www.sec.gov/Archives/edgar/data/1713334/000119312525191663/0001193125-25-191663.txt,,,
0001713334,https://www.sec.gov/Archives/edgar/data/1713334/000119312525170921/d28576d6k.htm,MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,6-K,2025-08-01,129,,False,,NO_CASHFLOW,cashflow statement missing,,0001193125-25-170921,https://www.sec.gov/Archives/edgar/data/1713334/000119312525170921/0001193125-25-170921.txt,,,
