Date,Ticker,Open,High,Low,Close,Volume
2025-11-28,NEO,12.04,12.21,11.86,12.1,966029
2025-11-26,NEO,12.27,12.4,12.09,12.13,1980009
2025-11-25,NEO,11.68,12.51,11.61,12.34,2315600
2025-11-24,NEO,11.48,11.67,11.27,11.61,2449200
2025-11-21,NEO,10.6,11.52,10.36,11.48,2612478
2025-11-20,NEO,10.45,11.07,10.45,10.6,2234663
2025-11-19,NEO,10.41,10.56,10.18,10.28,2148100
2025-11-18,NEO,10.23,10.48,9.89,10.41,2987842
2025-11-17,NEO,10.29,10.4,10.06,10.22,1679615
2025-11-14,NEO,9.83,10.44,9.71,10.34,2293620
2025-11-13,NEO,9.88,10.16,9.71,10.01,1300200
2025-11-12,NEO,10.42,10.73,9.94,10.0,1749100
2025-11-11,NEO,10.4,10.49,10.28,10.42,1301340
2025-11-10,NEO,10.06,10.54,10.06,10.4,2272432
2025-11-07,NEO,10.2,10.32,9.78,10.08,2256628
2025-11-06,NEO,10.5,10.75,10.29,10.4,3910306
2025-11-05,NEO,10.05,10.5,9.94,10.43,2802708
2025-11-04,NEO,9.6,10.28,9.6,10.1,3064300
2025-11-03,NEO,9.8,9.99,9.6,9.78,3811053
2025-10-31,NEO,9.69,9.95,9.42,9.77,2609149
2025-10-30,NEO,10.31,10.58,9.6,9.69,2823124
2025-10-29,NEO,10.11,10.49,10.04,10.28,5711444
2025-10-28,NEO,10.82,11.41,9.83,9.92,8763100
2025-10-27,NEO,10.75,10.8,10.15,10.16,4909716
2025-10-24,NEO,10.62,10.7,10.5,10.67,2826600
2025-10-23,NEO,10.35,10.57,10.24,10.45,4390548
2025-10-22,NEO,10.35,10.52,10.14,10.34,3816600
2025-10-21,NEO,10.57,10.65,10.43,10.43,3159700
2025-10-20,NEO,10.34,10.89,10.2,10.59,5729900
2025-10-17,NEO,10.08,10.38,10.01,10.05,3143600
2025-10-16,NEO,10.0,10.4,9.99,10.28,7488831
2025-10-15,NEO,9.5,9.98,9.5,9.97,7941655
2025-10-14,NEO,9.25,9.57,9.19,9.38,4889028
2025-10-13,NEO,9.12,9.62,9.1,9.34,9449416
2025-10-10,NEO,8.96,9.16,8.68,9.1,8546600
2025-10-09,NEO,9.16,9.25,8.9,8.97,2402000
2025-10-08,NEO,9.07,9.47,9.02,9.17,4228700
2025-10-07,NEO,9.24,9.24,8.98,9.03,5703733
2025-10-06,NEO,9.2,9.2,8.98,9.1,3978919
2025-10-03,NEO,9.0,9.17,8.82,9.1,4490548
2025-10-02,NEO,8.71,9.08,8.34,8.98,9687508
2025-10-01,NEO,7.67,8.81,7.66,8.72,4509366
2025-09-30,NEO,7.73,7.77,7.56,7.72,1837500
2025-11-28,WDH,1.83,1.84,1.79,1.8,179329
2025-11-26,WDH,1.75,1.77,1.73,1.76,170400
2025-11-25,WDH,1.81,1.81,1.7,1.7,190700
2025-11-24,WDH,1.65,1.84,1.65,1.82,562372
2025-11-21,WDH,1.57,1.66,1.57,1.65,116200
2025-11-20,WDH,1.64,1.67,1.58,1.58,136595
2025-11-19,WDH,1.67,1.69,1.62,1.63,229800
2025-11-18,WDH,1.66,1.66,1.64,1.66,47436
2025-11-17,WDH,1.62,1.68,1.61,1.66,244979
2025-11-14,WDH,1.61,1.64,1.59,1.59,167300
2025-11-13,WDH,1.61,1.67,1.6,1.6,212031
2025-11-12,WDH,1.71,1.71,1.61,1.63,247736
2025-11-11,WDH,1.66,1.69,1.65,1.68,130916
2025-11-10,WDH,1.61,1.69,1.61,1.66,304970
2025-11-07,WDH,1.58,1.62,1.57,1.6,182448
2025-11-06,WDH,1.64,1.64,1.59,1.59,447300
2025-11-05,WDH,1.65,1.7,1.65,1.66,132705
2025-11-04,WDH,1.7,1.73,1.65,1.67,314700
2025-11-03,WDH,1.77,1.78,1.73,1.73,87483
2025-10-31,WDH,1.76,1.76,1.74,1.76,117168
2025-10-30,WDH,1.69,1.75,1.69,1.74,163100
2025-10-29,WDH,1.78,1.78,1.7,1.72,360686
2025-10-28,WDH,1.81,1.82,1.77,1.77,172222
2025-10-27,WDH,1.81,1.83,1.78,1.8,230205
2025-10-24,WDH,1.8,1.81,1.78,1.78,188440
2025-10-23,WDH,1.77,1.8,1.77,1.79,166273
2025-10-22,WDH,1.8,1.81,1.76,1.77,246868
2025-10-21,WDH,1.8,1.84,1.79,1.81,199303
2025-10-20,WDH,1.78,1.82,1.78,1.81,250725
2025-10-17,WDH,1.78,1.81,1.77,1.78,226200
2025-10-16,WDH,1.85,1.85,1.78,1.78,268518
2025-10-15,WDH,1.82,1.86,1.79,1.86,335102
2025-10-14,WDH,1.8,1.8,1.74,1.79,478721
2025-10-13,WDH,1.86,1.86,1.8,1.8,417110
2025-10-10,WDH,1.91,1.94,1.83,1.84,833900
2025-10-09,WDH,1.92,1.94,1.87,1.88,373957
2025-10-08,WDH,1.96,1.96,1.9,1.92,310700
2025-10-07,WDH,1.97,2.01,1.91,1.93,400914
2025-10-06,WDH,1.99,2.0,1.95,1.97,545042
2025-10-03,WDH,1.93,1.97,1.9,1.95,933500
2025-10-02,WDH,1.94,1.95,1.88,1.89,371038
2025-10-01,WDH,1.9,1.92,1.88,1.89,315843
2025-09-30,WDH,1.93,1.93,1.86,1.89,347200
2025-11-28,MBVI,10.0,10.05,10.0,10.05,5922
2025-11-26,MBVI,10.02,10.05,10.0,10.05,48029
2025-11-25,MBVI,10.02,10.04,10.02,10.03,51100
2025-11-24,MBVI,10.04,10.04,10.03,10.04,57511
2025-11-21,MBVI,10.06,10.06,10.04,10.04,70140
2025-11-20,MBVI,10.07,10.08,10.07,10.07,31300
2025-11-19,MBVI,10.09,10.09,10.06,10.07,17836
2025-11-18,MBVI,10.09,10.1,10.06,10.09,11700
2025-11-17,MBVI,10.08,10.08,10.05,10.05,303
2025-11-14,MBVI,10.04,10.09,10.04,10.09,20047
2025-11-13,MBVI,10.06,10.06,10.04,10.04,112700
2025-11-12,MBVI,10.06,10.06,10.06,10.06,339
2025-11-11,MBVI,10.09,10.09,10.09,10.09,25111
2025-11-10,MBVI,10.08,10.08,10.07,10.08,60300
2025-11-07,MBVI,10.1,10.1,10.06,10.09,33573
2025-11-06,MBVI,10.1,10.1,10.1,10.1,10700
2025-11-05,MBVI,10.07,10.07,10.07,10.07,510
2025-11-04,MBVI,10.06,10.09,10.06,10.07,85132
2025-11-03,MBVI,10.07,10.07,10.07,10.07,8600
2025-10-31,MBVI,10.09,10.09,10.07,10.07,408400
2025-10-30,MBVI,10.09,10.1,10.09,10.1,8046
2025-10-29,MBVI,10.12,10.13,10.11,10.12,1233
2025-10-28,MBVI,10.13,10.13,10.1,10.12,149500
2025-10-27,MBVI,10.14,10.14,10.14,10.14,7
2025-10-24,MBVI,10.14,10.14,10.14,10.14,1428
2025-10-23,MBVI,10.11,10.14,10.1,10.14,146503
2025-10-22,MBVI,10.05,10.17,10.04,10.14,267629
2025-10-21,MBVI,10.01,10.06,10.01,10.05,66730
2025-10-20,MBVI,10.09,10.09,10.0,10.04,71200
2025-10-17,MBVI,10.3,10.5,10.02,10.09,99300
2025-11-28,NFE,1.18,1.23,1.14,1.22,6182710
2025-11-26,NFE,1.12,1.22,1.06,1.22,10503009
2025-11-25,NFE,1.19,1.19,1.08,1.12,12308000
2025-11-24,NFE,1.17,1.27,1.1,1.21,17645511
2025-11-21,NFE,1.39,1.39,1.06,1.21,37274500
2025-11-20,NFE,1.24,1.6,1.22,1.46,44921200
2025-11-19,NFE,1.12,1.25,1.09,1.16,7213538
2025-11-18,NFE,1.06,1.15,1.02,1.13,8461800
2025-11-17,NFE,1.04,1.1,0.9765,1.1,10706201
2025-11-14,NFE,1.07,1.13,1.04,1.05,8205935
2025-11-13,NFE,1.1,1.21,1.07,1.1,16163100
2025-11-12,NFE,1.19,1.2,1.11,1.16,11537703
2025-11-11,NFE,1.21,1.26,1.12,1.19,12195033
2025-11-10,NFE,1.37,1.42,1.22,1.24,11036401
2025-11-07,NFE,1.39,1.4,1.29,1.34,10152000
2025-11-06,NFE,1.54,1.62,1.39,1.4,21941100
2025-11-05,NFE,1.37,1.78,1.37,1.49,52764706
2025-11-04,NFE,1.55,1.69,1.29,1.35,82607231
2025-11-03,NFE,1.31,1.34,1.17,1.18,18987526
2025-10-31,NFE,1.23,1.33,1.22,1.29,9006300
2025-10-30,NFE,1.31,1.32,1.23,1.23,15258400
2025-10-29,NFE,1.5,1.53,1.31,1.32,14595033
2025-10-28,NFE,1.56,1.6,1.51,1.53,8182400
