Ticker,Company,CIK,Sector,CatalystType,CatalystDate,CatalystPrimaryLink,CatalystEvidencePrimaryLinks,CatalystEvidenceSecondaryLinks,HasDilutionFlag,DilutionForms,DilutionLinks,DilutionNotes,RunwayCash,RunwayQuarterlyBurn,RunwayQuarters,RunwayNotes,LatestForm,FiledAt,FilingURL,FilingsSummary,FilingURLsAll,FDA_EventType,FDA_Date,FDA_URL,FDA_URLsAll,FDA_Summary
ACB,Aurora Cannabis Inc.,0001683541,Healthcare,TBD,2025-11-05,https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001175/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000828/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000015/fs20250630q12026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000806/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000785/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000731/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000711/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000708/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000645/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000641/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000634/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000008/acb-20250331.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000577/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000531/ex991.htm,,FALSE,,,,,,,TODO: parse 10-Q/10-K to compute runway,6-K,2025-11-05,https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm,"2025-11-05 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001175/ex991.htm | nan
2025-11-05 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm | nan
2025-10-23 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm | nan
2025-09-18 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm | nan
2025-08-11 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm | nan
2025-08-11 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm | nan
2025-08-06 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000828/ex991.htm | nan
2025-08-06 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000015/fs20250630q12026.htm | nan
2025-07-30 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000806/ex991.htm | nan
2025-07-24 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000785/ex991.htm | nan
2025-07-14 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000731/ex991.htm | nan
2025-07-09 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000711/ex991.htm | nan
2025-07-09 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000708/ex991.htm | nan
2025-06-20 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000645/ex991.htm | nan
2025-06-18 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000641/ex991.htm | nan
2025-06-18 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000634/ex991.htm | nan
2025-06-18 | 40-F | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000008/acb-20250331.htm | nan
2025-06-04 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000577/ex991.htm | nan
2025-05-27 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000531/ex991.htm | nan",https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001175/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000828/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000015/fs20250630q12026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000806/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000785/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000731/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000711/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000708/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000645/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000641/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000634/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000008/acb-20250331.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000577/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000531/ex991.htm,,,,,
