CIK,Company,Ticker,Form,FilingDate,EventDate,DateOfReport,AccessionNo,FilingURL,FilingUrlTxt,PeriodOfReport,AcceptanceDateTime,HomepageURL,ItemsPresent,ItemsNormalized,HasPressRelease,HasExhibits,PrimaryEx99Docs,PrimaryEx10Docs,HasXBRL,EventType,EventTier,PrimarySourceURL,SecondarySourceURL,IsCatalyst,CatalystType,Tier1Type,Tier1Trigger,IsDilution,DilutionTags,IgnoreReason
0001576873,AMERICAN BATTERY TECHNOLOGY Co,ABAT,8-K,2025-11-17,2025-11-13,2025-11-13,0001493152-25-023902,https://www.sec.gov/Archives/edgar/data/1576873/000149315225023902/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1576873/000149315225023902/form8-k.htm,2025-11-13,2025-11-17 16:45:44,https://www.sec.gov/Archives/edgar/data/1576873/0001493152-25-023902-index.html,Item 5.07; Item 7.01; Item 9.01,Item 5.07; Item 7.01; Item 9.01,True,True,ex99-1.htm,,True,OtherEvent,Tier-2,https://www.sec.gov/Archives/edgar/data/1576873/000149315225023902/form8-k.htm,,True,Tier-2,,,False,,
0001576873,AMERICAN BATTERY TECHNOLOGY Co,ABAT,8-K,2025-09-19,2025-09-19,2025-09-19,0001493152-25-014321,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014321/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014321/form8-k.htm,2025-09-19,2025-09-19 17:20:09,https://www.sec.gov/Archives/edgar/data/1576873/0001493152-25-014321-index.html,Item 8.01,Item 8.01,False,True,,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014321/form8-k.htm,,True,Tier-1,Financing,,True,offering,
0001576873,AMERICAN BATTERY TECHNOLOGY Co,ABAT,8-K,2025-10-14,2025-10-13,2025-10-13,0001493152-25-018037,https://www.sec.gov/Archives/edgar/data/1576873/000149315225018037/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1576873/000149315225018037/form8-k.htm,2025-10-13,2025-10-14 17:00:31,https://www.sec.gov/Archives/edgar/data/1576873/0001493152-25-018037-index.html,Item 7.01; Item 9.01,Item 7.01; Item 9.01,True,True,ex99-1.htm,,True,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1576873/000149315225018037/form8-k.htm,,True,Tier-2,,,False,,
0001576873,AMERICAN BATTERY TECHNOLOGY Co,ABAT,8-K,2025-09-23,2025-09-22,2025-09-22,0001493152-25-014657,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014657/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014657/form8-k.htm,2025-09-22,2025-09-23 17:01:02,https://www.sec.gov/Archives/edgar/data/1576873/0001493152-25-014657-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,True,True,ex99-1.htm,,True,OtherEvent,Tier-2,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014657/form8-k.htm,,True,Tier-2,,,False,,
0001576873,AMERICAN BATTERY TECHNOLOGY Co,ABAT,8-K,2025-09-18,2025-09-18,2025-09-18,0001493152-25-014076,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014076/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014076/form8-k.htm,2025-09-18,2025-09-18 16:36:33,https://www.sec.gov/Archives/edgar/data/1576873/0001493152-25-014076-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,True,True,ex99-1.htm,,True,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1576873/000149315225014076/form8-k.htm,,True,Tier-1,Financing,,True,purchase_agreement,
0001576873,AMERICAN BATTERY TECHNOLOGY Co,ABAT,8-K,2025-08-01,2025-07-28,2025-07-28,0001641172-25-021929,https://www.sec.gov/Archives/edgar/data/1576873/000164117225021929/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1576873/000164117225021929/form8-k.htm,2025-07-28,2025-08-01 17:00:42,https://www.sec.gov/Archives/edgar/data/1576873/0001641172-25-021929-index.html,Item 1.02,Item 1.02,False,True,,,True,Financing,Tier-1,https://www.sec.gov/Archives/edgar/data/1576873/000164117225021929/form8-k.htm,,True,Tier-1,Financing,,True,purchase_agreement,
0001098972,AGENUS INC,AGEN,8-K,2025-11-10,2025-11-10,2025-11-10,0001193125-25-273266,https://www.sec.gov/Archives/edgar/data/1098972/000119312525273266/agen-20251110.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312525273266/agen-20251110.htm,2025-11-10,2025-11-10 07:32:25,https://www.sec.gov/Archives/edgar/data/1098972/0001193125-25-273266-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,True,True,agen-ex99_1.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1098972/000119312525273266/agen-20251110.htm,,True,Tier-2,,,False,,
0001098972,AGENUS INC,AGEN,8-K,2025-10-09,2025-10-08,2025-10-08,0001193125-25-235819,https://www.sec.gov/Archives/edgar/data/1098972/000119312525235819/agen-20251008.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312525235819/agen-20251008.htm,2025-10-08,2025-10-09 16:05:27,https://www.sec.gov/Archives/edgar/data/1098972/0001193125-25-235819-index.html,Item 1.01; Item 2.03,Item 1.01; Item 2.03,False,True,,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1098972/000119312525235819/agen-20251008.htm,,True,Tier-1,Financing,,True,spa;purchase_agreement;warrant,
0001098972,AGENUS INC,AGEN,8-K,2025-09-23,2025-09-17,2025-09-17,0001193125-25-213574,https://www.sec.gov/Archives/edgar/data/1098972/000119312525213574/agen-20250917.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312525213574/agen-20250917.htm,2025-09-17,2025-09-23 17:12:12,https://www.sec.gov/Archives/edgar/data/1098972/0001193125-25-213574-index.html,Item 8.01,Item 8.01,False,True,,,True,Financing,Tier-1,https://www.sec.gov/Archives/edgar/data/1098972/000119312525213574/agen-20250917.htm,,True,Tier-1,Financing,,True,purchase_agreement,
0001098972,AGENUS INC,AGEN,8-K,2025-08-11,2025-08-11,2025-08-11,0000950170-25-106235,https://www.sec.gov/Archives/edgar/data/1098972/000095017025106235/agen-20250811.htm,https://www.sec.gov/Archives/edgar/data/1098972/000095017025106235/agen-20250811.htm,2025-08-11,2025-08-11 07:31:27,https://www.sec.gov/Archives/edgar/data/1098972/0000950170-25-106235-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,True,True,agen-ex99_1.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1098972/000095017025106235/agen-20250811.htm,,True,Tier-1,Financing,,True,offering,
