Ticker,Company,CIK,Sector,Industry,Reason,Materiality,Status
ASYS,"Amtech Systems, Inc.",720500,Technology,Semiconductors,Mandatory subscore missing: Runway; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
CBAN,"Colony Bankcorp, Inc.",711669,Financial Services,Banks - Regional,Mandatory subscore missing: Runway; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
TPVG,TriplePoint Venture Growth BDC Corp.,1580345,Financial Services,Asset Management,Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
BTM,Bitcoin Depot Inc.,1901799,Financial Services,Financial - Capital Markets,Mandatory subscore missing: Runway; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
RILY,"B. Riley Financial, Inc.",1464790,Financial Services,Financial - Conglomerates,Mandatory subscore missing: Runway; Subscores <4/5; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
LOAN,"Manhattan Bridge Capital, Inc.",1080340,Real Estate,REIT - Mortgage,Mandatory subscore missing: Runway; Subscores <4/5; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
EARN,Ellington Credit Company,1560672,Financial Services,Asset Management,Mandatory subscore missing: Runway; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
CTGO,"Contango Ore, Inc.",1502377,Basic Materials,Gold,Mandatory subscore missing: Runway; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
RLGT,"Radiant Logistics, Inc.",1171155,Industrials,Integrated Freight & Logistics,Mandatory subscore missing: Runway; Subscores <4/5; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
MDV,Modiv Inc.,1645873,Real Estate,REIT - Diversified,Mandatory subscore missing: Runway; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
AIRS,"AirSculpt Technologies, Inc.",1870940,Healthcare,Medical - Care Facilities,Mandatory subscore missing: Runway; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
LGCY,Legacy Education Inc.,1836754,Consumer Defensive,Education & Training Services,Mandatory subscore missing: Runway; Subscores <4/5; Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
ZURA,Zura Bio Limited,1855644,Healthcare,Biotechnology,Materiality fail,FAIL - mandatory subscore missing,TBD - exclude
