Ticker,Company,CIK,Sector,Industry,Venue,Price,MarketCap,ADV20,RunwayQuarters,Runway (qtrs),DilutionScore,CatalystScore,GovernanceScore,InsiderScore,BiotechPeerRead,SubscoresEvidencedCount,Materiality,ConvictionScore,PrimaryCatalystDate,PrimaryCatalystType,PrimaryCatalystTier,PrimaryCatalystURL,RunwayEvidencePrimary,DilutionEvidencePrimary,CatalystEvidencePrimary,PrimarySource,SecondarySource,Status,ValidationStatus
NUKK,Nukkleus Inc.,1592782,Technology,Software - Application,NASDAQ,5.55,92384001.0,1554546.8,1.54,1.54,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-09-04,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1787518/000121390025084752/ea0256178-8k_nukkleus.htm,https://www.sec.gov/Archives/edgar/data/1787518/000121390025111026/ea0263555-10q_nukkleus.htm,https://www.sec.gov/Archives/edgar/data/1787518/000121390025114864/ea0266864-s8_nukkleus.htm,https://www.sec.gov/Archives/edgar/data/1787518/000121390025084752/ea0256178-8k_nukkleus.htm,https://www.sec.gov/Archives/edgar/data/1787518/000121390025084752/ea0256178-8k_nukkleus.htm,nan,Validated,Validated
PXLW,"Pixelworks, Inc.",1040161,Technology,Semiconductors,NASDAQ,6.89,35674787.0,118267.15,1.03,1.03,High,Tier-1: GuidanceUp,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-08-12,GuidanceUp,Tier-1,https://www.sec.gov/Archives/edgar/data/1040161/000104016125000039/pxlw-20250812.htm,https://www.sec.gov/Archives/edgar/data/1040161/000104016125000053/pxlw-20250930.htm,https://www.sec.gov/Archives/edgar/data/1040161/000119312525232611/d67770d424b5.htm;https://www.sec.gov/Archives/edgar/data/1040161/000119312525062644/d893672d424b5.htm;https://www.sec.gov/Archives/edgar/data/1040161/000119312524258775/d908709d424b5.htm;https://www.sec.gov/Archives/edgar/data/1040161/000104016125000047/a2025s-8registration.htm,https://www.sec.gov/Archives/edgar/data/1040161/000104016125000039/pxlw-20250812.htm,https://www.sec.gov/Archives/edgar/data/1040161/000104016125000039/pxlw-20250812.htm,nan,Validated,Validated
HOVR,New Horizon Aircraft Ltd.,1930021,Industrials,Aerospace & Defense,NASDAQ,1.65,67608438.0,1188123.65,6.88,6.88,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-06-26,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1930021/000121390025058626/ea0247256-8k_newhorizon.htm,https://www.sec.gov/Archives/edgar/data/1930021/000121390025097933/ea0257310-10q_newhorizon.htm,https://www.sec.gov/Archives/edgar/data/1930021/000121390025029074/ea0237124-424b3_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000121390025024731/ea023459601-424b3_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000121390025024729/ea023459602-424b3_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000121390025104672/ea0262324-424b5_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000121390025059093/ea0246662-424b5_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000101376225002375/ea0235638-424b5_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000101376225004222/ea0228863-s3_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000121390025014456/ea0229589-s3_newhorizon.htm;https://www.sec.gov/Archives/edgar/data/1930021/000121390025024254/ea0234420-s3a1_newhorizon.htm,https://www.sec.gov/Archives/edgar/data/1930021/000121390025058626/ea0247256-8k_newhorizon.htm,https://www.sec.gov/Archives/edgar/data/1930021/000121390025058626/ea0247256-8k_newhorizon.htm,nan,Validated,Validated
HUSA,Houston American Energy Corp.,1156041,Energy,Oil & Gas Exploration & Production,AMEX,2.2,75607849.0,218511.45,0.33,0.33,High,Tier-1: ContractAward,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-07-01,ContractAward,Tier-1,https://www.sec.gov/Archives/edgar/data/1156041/000164117225017360/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000149315225024335/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1156041/000164117225016341/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1156041/000164117225015652/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1156041/000149315225003294/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1156041/000149315225024558/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1156041/000149315225013738/forms-3.htm;https://www.sec.gov/Archives/edgar/data/1156041/000149315225018174/forms-3a.htm;https://www.sec.gov/Archives/edgar/data/1156041/000149315225017464/forms-3a.htm;https://www.sec.gov/Archives/edgar/data/1156041/000149315224043101/forms-3a.htm,https://www.sec.gov/Archives/edgar/data/1156041/000164117225017360/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000164117225017360/form8-k.htm,nan,Validated,Validated
TNXP,Tonix Pharmaceuticals Holding Corp.,1430306,Healthcare,Biotechnology,NASDAQ,15.97,139987127.0,795941.35,3.16,3.16,High,Tier-1: ATM,OK,Strong,Y,5,PASS - Tier1 catalyst,High,2025-09-29,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1430306/000199937125014108/tnxp-8k_092925.htm,https://www.sec.gov/Archives/edgar/data/1430306/000199937125017370/tnxp-10q_093025.htm,https://www.sec.gov/Archives/edgar/data/1430306/000199937125018393/tnxp-424b5_112125.htm;https://www.sec.gov/Archives/edgar/data/1430306/000199937125007628/tonix-424b5.htm;https://www.sec.gov/Archives/edgar/data/1430306/000199937125007627/tonix-424b5.htm;https://www.sec.gov/Archives/edgar/data/1430306/000183988224046554/tonix-424b5_122024.htm;https://www.sec.gov/Archives/edgar/data/1430306/000199937125007635/tonix_s3-061125.htm;https://www.sec.gov/Archives/edgar/data/1430306/000199937125012583/tnxp-s3a_090325.htm;https://www.sec.gov/Archives/edgar/data/1430306/000199937125006945/tonix-s8_053025.htm;https://www.sec.gov/Archives/edgar/data/1430306/000183988224044127/tonix-s8_120624.htm,https://www.sec.gov/Archives/edgar/data/1430306/000199937125014108/tnxp-8k_092925.htm,https://www.sec.gov/Archives/edgar/data/1430306/000199937125014108/tnxp-8k_092925.htm,nan,Validated,Validated
KULR,"KULR Technology Group, Inc.",1662684,Technology,"Hardware, Equipment & Parts",AMEX,3.24,147909201.0,1784984.8,0.66,0.66,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-08-14,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1662684/000110465925078619/tm2523554d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1662684/000110465925113662/tmb-20250930x10q.htm,https://www.sec.gov/Archives/edgar/data/1662684/000110465925094763/tm2526981d1_424b5.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465925057584/tm2516103d4_424b5.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465925006038/tm254277-1_424b5.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465924131747/tm2429937d5_424b5.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465924125380/tm2429937d2_424b5.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465925052607/tm2516103d1_s3.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465925056030/tm2516103d1_s3.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465924125379/tm2429937d1_s3a.htm;https://www.sec.gov/Archives/edgar/data/1662684/000110465925116472/tm2532030d1_s8.htm,https://www.sec.gov/Archives/edgar/data/1662684/000110465925078619/tm2523554d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1662684/000110465925078619/tm2523554d1_8k.htm,nan,Validated,Validated
NXXT,NextNRG Inc.,1817004,Utilities,Renewable Utilities,NASDAQ,1.22,159544036.0,2107239.55,0.05,0.05,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-09-09,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1817004/000149315225012924/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1817004/000149315225023664/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1817004/000149315225000175/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1817004/000149315225000080/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1817004/000149315225006753/form424b4.htm;https://www.sec.gov/Archives/edgar/data/1817004/000149315225024083/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1817004/000149315225023591/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1817004/000149315225012923/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1817004/000164117225017854/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1817004/000164117225017058/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1817004/000164117225002984/forms-8.htm,https://www.sec.gov/Archives/edgar/data/1817004/000149315225012924/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1817004/000149315225012924/form8-k.htm,nan,Validated,Validated
IVVD,"Invivyd, Inc.",1832038,Healthcare,Biotechnology,NASDAQ,2.43,322532544.0,11717619.4,1.99,1.99,High,Tier-1: ATM,OK,Strong,Y,5,PASS - Tier1 catalyst,High,2025-06-26,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1832038/000095017025090172/ivvd-20250626.htm,https://www.sec.gov/Archives/edgar/data/1832038/000119312525268076/ivvd-20250930.htm,https://www.sec.gov/Archives/edgar/data/1832038/000119312525286661/d835559d424b5.htm;https://www.sec.gov/Archives/edgar/data/1832038/000119312525284616/d835559d424b5.htm;https://www.sec.gov/Archives/edgar/data/1832038/000119312525185639/d83346d424b5.htm;https://www.sec.gov/Archives/edgar/data/1832038/000119312525184075/d83346d424b5.htm;https://www.sec.gov/Archives/edgar/data/1832038/000119312525228321/d28850ds3.htm,https://www.sec.gov/Archives/edgar/data/1832038/000095017025090172/ivvd-20250626.htm,https://www.sec.gov/Archives/edgar/data/1832038/000095017025090172/ivvd-20250626.htm,nan,Validated,Validated
MAIA,"MAIA Biotechnology, Inc.",1878313,Healthcare,Biotechnology,AMEX,1.18,43698122.0,224801.5,0.92,0.92,High,Tier-1: ATM,OK,Strong,Y,5,PASS - Tier1 catalyst,High,2025-09-24,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1878313/000149315225014729/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1878313/000149315225021272/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1878313/000164117225000776/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1878313/000119312524284258/d698846d424b5.htm;https://www.sec.gov/Archives/edgar/data/1878313/000164117225001222/forms-8.htm,https://www.sec.gov/Archives/edgar/data/1878313/000149315225014729/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1878313/000149315225014729/form8-k.htm,nan,Validated,Validated
BAER,"Bridger Aerospace Group Holdings, Inc. Common Stock",1941536,Industrials,Security & Protection Services,NASDAQ,1.81,100533018.0,354675.5,1.05,1.05,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-08-07,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1941536/000117184325005183/f8k_080725.htm,https://www.sec.gov/Archives/edgar/data/1941536/000194153625000006/baer-20250630.htm,https://www.sec.gov/Archives/edgar/data/1941536/000168316824008788/bridger_424b3.htm;https://www.sec.gov/Archives/edgar/data/1941536/000168316825001690/bridger_424b5.htm;https://www.sec.gov/Archives/edgar/data/1941536/000168316824008574/bridger_s3.htm,https://www.sec.gov/Archives/edgar/data/1941536/000117184325005183/f8k_080725.htm,https://www.sec.gov/Archives/edgar/data/1941536/000117184325005183/f8k_080725.htm,nan,Validated,Validated
