Ticker,CIK,Company,Exchange,Country,Currency,Sector,Industry,MarketCap,Price,UpdatedAt,BidPrice,AskPrice,BidSize,AskSize,AfterHoursVolume,QuoteTimestamp,Spread,SpreadPct
NEO,0001077183,"NeoGenomics, Inc.",NASDAQ,US,USD,Healthcare,Medical - Diagnostics & Research,258016418.0,10.1,2025-11-05T12:38:50.396724,10.05,10.12,9.0,9.0,0.0,2025-11-04T21:00:01Z,0.06999999999999851,0.6941001487357313
JKS,0001481513,"JinkoSolar Holding Co., Ltd.",NYSE,CN,USD,Energy,Solar,319176238.0,24.77,2025-11-05T12:38:50.398711,24.89,25.24,10.0,200.0,0.0,2025-11-05T12:36:44Z,0.34999999999999787,1.3963694394574022
WDH,0001823986,Waterdrop Inc.,NYSE,CN,USD,Financial Services,Insurance - Diversified,60397638.0,1.67,2025-11-05T12:38:50.621951,1.66,1.68,3700.0,8200.0,0.0,2025-11-04T21:00:02Z,0.020000000000000018,1.1976047904191627
ABAT,0001576873,American Battery Technology Company Common Stock,NASDAQ,US,USD,Basic Materials,Industrial Materials,318124154.0,3.93,2025-11-05T12:38:50.631395,3.89,3.95,120.0,119.0,0.0,2025-11-04T21:00:01Z,0.06000000000000005,1.5306122448979604
ARCT,0001768224,Arcturus Therapeutics Holdings Inc.,NASDAQ,US,USD,Healthcare,Biotechnology,242489944.0,8.93,2025-11-05T12:38:50.925293,8.84,8.92,300.0,100.0,0.0,2025-11-05T12:38:45Z,0.08000000000000007,0.9009009009009018
PTLO,0001871509,Portillo's Inc.,NASDAQ,US,USD,Consumer Cyclical,Restaurants,349461119.0,4.86,2025-11-05T12:38:50.928737,4.87,4.96,199.0,17.0,0.0,2025-11-05T12:38:45Z,0.08999999999999986,1.831129196337739
RTAC,0002035173,Renatus Tactical Acquisition Corp I Class A Ordinary Shares,NASDAQ,US,USD,Financial Services,Shell Companies,339346415.0,10.89,2025-11-05T12:38:50.932314,10.8,11.0,1000.0,100.0,223940.0,2025-11-05T12:38:16Z,0.1999999999999993,1.8348623853210944
UPXI,0001775194,"Upexi, Inc.",NASDAQ,US,USD,Communication Services,Internet Content & Information,206110646.0,3.5,2025-11-05T12:38:50.933622,3.62,3.64,288.0,400.0,17597.0,2025-11-05T12:37:33Z,0.020000000000000018,0.5509641873278243
ETHZ,0001690080,Ethzilla Corp.,NASDAQ,US,USD,Financial Services,Asset Management - Cryptocurrency,254821960.0,15.375,2025-11-05T12:38:50.933741,15.9,16.19,1.0,3.0,5592.0,2025-11-05T12:37:19Z,0.2900000000000009,1.8074166406980425
INVZ,0001835654,Innoviz Technologies Ltd.,NASDAQ,IL,USD,Consumer Cyclical,Auto - Parts,325255241.0,1.62,2025-11-05T12:38:50.934525,1.62,1.63,2778.0,1100.0,10451.0,2025-11-05T12:38:42Z,0.009999999999999787,0.6153846153846023
SCM,0001551901,Stellus Capital Investment Corporation,NYSE,US,USD,Financial Services,Asset Management,336731354.0,11.85,2025-11-05T12:38:50.935713,11.8,11.93,132.0,25.0,0.0,2025-11-05T12:37:01Z,0.129999999999999,1.0956595027391403
