CIK,URL,Ticker,Company,Form,FiledAt,Age,RunwayQuarters,HasRunway,RunwaySourceURL,RunwayReasonCode,RunwayReasonDetail,Desc,Accession,MasterTxtURL,RunwayErrorType,RunwayErrorMessage,RunwayErrorStage,FilingForm,FilingAccession,FilingURL,Status
0001683541,https://www.sec.gov/Archives/edgar/data/1683541/000127956925001175/aurora_6k.htm,ACB,AURORA CANNABIS INC,6-K,2025-11-05,31,,False,,NO_CASHFLOW,cashflow statement missing,,0001279569-25-001175,https://www.sec.gov/Archives/edgar/data/1683541/000127956925001175/0001279569-25-001175.txt,,,,,,,
0001683541,https://www.sec.gov/Archives/edgar/data/1683541/000162828025049248/form6-k20250930q22026.htm,ACB,AURORA CANNABIS INC,6-K,2025-11-05,31,,False,,NO_CASHFLOW,cashflow statement missing,,0001628280-25-049248,https://www.sec.gov/Archives/edgar/data/1683541/000162828025049248/0001628280-25-049248.txt,,,,,,,
0001683541,https://www.sec.gov/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm,ACB,AURORA CANNABIS INC,6-K,2025-10-23,44,,False,,NO_CASHFLOW,cashflow statement missing,,0001279569-25-001141,https://www.sec.gov/Archives/edgar/data/1683541/000127956925001141/0001279569-25-001141.txt,,,,,,,
0001683541,https://www.sec.gov/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm,ACB,AURORA CANNABIS INC,6-K,2025-09-18,79,,False,,NO_CASHFLOW,cashflow statement missing,,0001279569-25-001017,https://www.sec.gov/Archives/edgar/data/1683541/000127956925001017/0001279569-25-001017.txt,,,,,,,
0001683541,https://www.sec.gov/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm,ACB,AURORA CANNABIS INC,6-K,2025-08-11,117,,False,,NO_CASHFLOW,cashflow statement missing,,0001279569-25-000864,https://www.sec.gov/Archives/edgar/data/1683541/000127956925000864/0001279569-25-000864.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000095017025039661/acr-20241231.htm,ACR-PC,ACRES Commercial Realty Corp.,10-K,2025-03-17,264,,False,,OK,,,0000950170-25-039661,https://www.sec.gov/Archives/edgar/data/1332551/000095017025039661/0000950170-25-039661.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000119312525269208/acr-20250930.htm,ACR-PC,ACRES Commercial Realty Corp.,10-Q,2025-11-06,30,,False,,NO_CASHFLOW,operating cash flow missing,,0001193125-25-269208,https://www.sec.gov/Archives/edgar/data/1332551/000119312525269208/0001193125-25-269208.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000095017025102890/acr-20250630.htm,ACR-PC,ACRES Commercial Realty Corp.,10-Q,2025-08-05,123,,False,,OK,,,0000950170-25-102890,https://www.sec.gov/Archives/edgar/data/1332551/000095017025102890/0000950170-25-102890.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000110465925117837/tm2532626-1_4seq1.xml,ACR-PC,ACRES Commercial Realty Corp.,4,2025-12-02,4,,False,,,,,0001104659-25-117837,https://www.sec.gov/Archives/edgar/data/1332551/000110465925117837/0001104659-25-117837.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000110465925116513/tm2532329-1_4seq1.xml,ACR-PC,ACRES Commercial Realty Corp.,4,2025-11-26,10,,False,,,,,0001104659-25-116513,https://www.sec.gov/Archives/edgar/data/1332551/000110465925116513/0001104659-25-116513.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000110465925114219/tm2531787-1_4seq1.xml,ACR-PC,ACRES Commercial Realty Corp.,4,2025-11-19,17,,False,,,,,0001104659-25-114219,https://www.sec.gov/Archives/edgar/data/1332551/000110465925114219/0001104659-25-114219.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000110465925111621/tm2531259-1_4seq1.xml,ACR-PC,ACRES Commercial Realty Corp.,4,2025-11-13,23,,False,,,,,0001104659-25-111621,https://www.sec.gov/Archives/edgar/data/1332551/000110465925111621/0001104659-25-111621.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000110465925108640/tm2530668-1_4seq1.xml,ACR-PC,ACRES Commercial Realty Corp.,4,2025-11-07,29,,False,,,,,0001104659-25-108640,https://www.sec.gov/Archives/edgar/data/1332551/000110465925108640/0001104659-25-108640.txt,,,,,,,
0001332551,https://www.sec.gov/Archives/edgar/data/1332551/000110465925106500/tm2530274-1_4seq1.xml,ACR-PC,ACRES Commercial Realty Corp.,4,2025-11-04,32,,False,,,,,0001104659-25-106500,https://www.sec.gov/Archives/edgar/data/1332551/000110465925106500/0001104659-25-106500.txt,,,,,,,
