Ticker,Company,Sector,CIK,Price,MarketCap,ADV20,LatestForm,LatestFiledAt,LatestFiledAgeDays,CatalystType,Catalyst,CatalystStatus,CatalystPrimaryForm,CatalystPrimaryDate,CatalystPrimaryDaysAgo,CatalystPrimaryURL,RunwayQuartersRaw,RunwayQuarters,RunwayCashRaw,RunwayCash,RunwayQuarterlyBurnRaw,RunwayQuarterlyBurn,RunwayEstimate,RunwayNotes,RunwayDays,RunwayBucket,RunwaySourceForm,RunwaySourceDate,RunwaySourceDaysAgo,RunwaySourceURL,RunwayStatus,DilutionFlag,Dilution,DilutionStatus,DilutionFormsHit,DilutionKeywordsHit,DilutionPrimaryForm,DilutionPrimaryDate,DilutionPrimaryDaysAgo,DilutionPrimaryURL,DilutionEvidenceAll,Governance,GovernanceStatus,GovernancePrimaryForm,GovernancePrimaryDate,GovernancePrimaryDaysAgo,GovernancePrimaryURL,GovernanceEvidenceAll,GovernanceNotes,HasGoingConcern,HasMaterialWeakness,Auditor,Insider,InsiderStatus,InsiderForms345Links,InsiderBuyCount,HasInsiderCluster,Ownership,OwnershipStatus,OwnershipLinks,Materiality,SubscoresEvidenced,SubscoresEvidencedCount,Status,ChecklistPassed,ChecklistCatalyst,ChecklistDilution,ChecklistRunway,ChecklistGovernance,ChecklistInsider,ChecklistOwnership,RiskFlag,Tier1Type,Tier1Trigger
ABEO,Abeona Therapeutics Inc.,Healthcare,0000318306,6.7,230235517.0,1439805.55,10-Q,2025-08-14,83,Earnings/Financial update,2025-08-14 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023716/form10-q.htm,Pass,10-Q,2025-08-14,83,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023716/form10-q.htm,8.795514,8.8,163535000.0,163535000.0,18593000.0,18593000.0,interim,2025-08-14 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023716/form10-q.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/318306/000164117225023716/form10-q.htm,792.0,6-12q,10-Q,2025-08-14,83,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023716/form10-q.htm,Pass,True,2025-01-06 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225001051/forms-8.htm,Overhang (S-8),S-8,,S-8,2025-01-06,303,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225001051/forms-8.htm,2025-01-06 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225001051/forms-8.htm,2025-04-09 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225003411/formdef14a.htm,Pass,DEF 14A,2025-04-09,210,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225003411/formdef14a.htm,2025-04-09 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225003411/formdef14a.htm; 2024-11-12 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224044862/formdef14a.htm,2025-04-09 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225003411/formdef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,0001576885,1.41,120843983.0,388878.55,10-Q,2025-08-12,85,Earnings/Financial update,2025-08-12 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm,Pass,10-Q,2025-08-12,85,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm,1.116249,1.12,36810000.0,36810000.0,32976500.0,32976500.0,interim,2025-08-12 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm,101.0,1-3q,10-Q,2025-08-12,85,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm,Pass,True,2025-03-27 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000051/acumenpharma-sx82025.htm,Overhang (S-8),S-8,,S-8,2025-03-27,223,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000051/acumenpharma-sx82025.htm,2025-03-27 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000051/acumenpharma-sx82025.htm,2025-04-23 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000057/abos-20250422.htm,Pass,DEF 14A,2025-04-23,196,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000057/abos-20250422.htm,2025-04-23 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000057/abos-20250422.htm,2025-04-23 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000057/abos-20250422.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
ACCO,ACCO Brands Corporation,Industrials,0000712034,4.04,325842002.0,548596.55,10-Q,2025-10-31,5,Earnings/Financial update,2025-10-31 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm,Pass,10-Q,2025-10-31,5,https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm,,,41200000.0,41200000.0,0.0,0.0,,2025-10-31 10-K https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm,,,,,,,Missing,True,2025-05-20 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075378/2025_s-8_final.htm,Overhang (S-8),S-8,,S-8,2025-05-20,169,https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075378/2025_s-8_final.htm,2025-05-20 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075378/2025_s-8_final.htm,2025-03-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025046374/acco-20250328.htm,Pass,DEF 14A,2025-03-28,222,https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025046374/acco-20250328.htm,2025-03-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025046374/acco-20250328.htm,2025-03-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025046374/acco-20250328.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,TBD - exclude,3/6,Pass,Pass,Missing,Pass,Missing,Missing,,None,False
ACHV,"Achieve Life Sciences, Inc.",Healthcare,0000949858,2.93,252203017.0,2387336.5,8-K,2025-10-07,29,Corporate event / guidance / financing,2025-10-07 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525233581/achv-20251006.htm,Pass,8-K,2025-10-07,29,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525233581/achv-20251006.htm,5.146996,5.15,51874000.0,51874000.0,10078500.0,10078500.0,interim,2025-08-07 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025104571/achv-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/949858/000095017025104571/achv-20250630.htm,464.0,3-6q,10-Q,2025-08-07,90,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025104571/achv-20250630.htm,Pass,True,2025-06-27 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090991/prosuppjune2025-projatom.htm,Pass (Offering),424B5; S-8; S-3,,424B5,2025-06-27,131,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090991/prosuppjune2025-projatom.htm,2025-06-27 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090991/prosuppjune2025-projatom.htm; 2025-06-26 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090401/prelimprosuppjune2025-pr.htm; 2025-01-10 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025004143/jan_10_2025_s-8.htm; 2024-12-05 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017024133703/s-8_new_hire_inducement.htm; 2024-11-07 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017024123443/s-3_svb_resale.htm,2025-04-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025059297/achv-20250424.htm,Pass,DEF 14A,2025-04-28,191,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025059297/achv-20250424.htm,2025-04-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025059297/achv-20250424.htm,2025-04-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025059297/achv-20250424.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,0001557746,2.08,246455796.0,1292148.05,8-K,2025-10-14,22,Corporate event / guidance / financing,2025-10-14 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465925098991/acrs-20251014x8k.htm,Pass,8-K,2025-10-14,22,https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465925098991/acrs-20251014x8k.htm,2.204078,2.2,25402000.0,25402000.0,11525000.0,11525000.0,interim,2025-08-07 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000155837025010789/acrs-20250630x10q.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1557746/000155837025010789/acrs-20250630x10q.htm,198.0,1-3q,10-Q,2025-08-07,90,https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000155837025010789/acrs-20250630x10q.htm,Pass,True,2025-06-05 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465925056892/tm2517064d1_s8.htm,Pass (Offering),S-8; S-3; 424B3,,S-8,2025-06-05,153,https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465925056892/tm2517064d1_s8.htm,2025-06-05 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465925056892/tm2517064d1_s8.htm; 2025-02-27 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465925018310/tm257451-1_s3.htm; 2024-12-31 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465924132854/tm2432276-1_424b3.htm; 2024-12-19 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465924130186/tm2431425-1_s3.htm; 2024-11-27 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000110465924123671/tm2429642d1_s8.htm,2025-04-24 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000155837025005332/acrs-20250605xdef14a.htm,Pass,DEF 14A,2025-04-24,195,https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000155837025005332/acrs-20250605xdef14a.htm,2025-04-24 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000155837025005332/acrs-20250605xdef14a.htm,2025-04-24 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1557746/000155837025005332/acrs-20250605xdef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,0001501756,3.54,90745282.0,1003853.4,8-K,2025-10-24,12,Corporate event / guidance / financing,2025-10-24 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000119312525249438/d70157dex21.htm,Pass,8-K,2025-10-24,12,https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000119312525249438/d70157dex21.htm,1.040447,1.04,42418000.0,42418000.0,40769000.0,40769000.0,interim,2025-08-12 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000162828025039761/advm-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1501756/000162828025039761/advm-20250630.htm,94.0,1-3q,10-Q,2025-08-12,85,https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000162828025039761/advm-20250630.htm,Pass,True,2025-06-20 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000119312525143640/d68468ds8.htm,Overhang (S-8),S-8,,S-8,2025-06-20,138,https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000119312525143640/d68468ds8.htm,2025-06-20 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000119312525143640/d68468ds8.htm; 2025-02-27 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000119312525039358/d871552ds8.htm; 2024-12-19 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000119312524282019/d758019ds8.htm,2025-04-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000114036125016005/ny20042039x2_def14a.htm,Pass,DEF 14A,2025-04-28,191,https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000114036125016005/ny20042039x2_def14a.htm,2025-04-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000114036125016005/ny20042039x2_def14a.htm,2025-04-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1501756/000114036125016005/ny20042039x2_def14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
AENT,Alliance Entertainment Holding Corporation,Communication Services,0001823584,6.0,337330401.0,56430.9,8-K,2025-10-02,34,Corporate event / guidance / financing,2025-10-02 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315225016711/ex10-1.htm,Pass,8-K,2025-10-02,34,https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315225016711/ex10-1.htm,,,4290000.0,4290000.0,0.0,0.0,,2025-05-15 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000164117225010841/form10-q.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1823584/000164117225010841/form10-q.htm,,,,,,,Missing,True,2024-12-20 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315224051116/forms-3.htm,Pass (Offering),S-3; S-8,,S-3,2024-12-20,320,https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315224051116/forms-3.htm,2024-12-20 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315224051116/forms-3.htm; 2024-11-12 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315224044662/forms-8.htm,2025-09-25 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315225014857/formdef14a.htm,Pass,DEF 14A,2025-09-25,41,https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315225014857/formdef14a.htm,2025-09-25 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315225014857/formdef14a.htm; 2024-10-18 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315224041476/formdef14a.htm,2025-09-25 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1823584/000149315225014857/formdef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,TBD - exclude,3/6,Pass,Pass,Missing,Pass,Missing,Missing,,None,False
AGEN,Agenus Inc.,Healthcare,0001098972,4.26,117259917.0,440890.3,8-K,2025-10-09,27,Corporate event / guidance / financing,2025-10-09 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000119312525235819/agen-20251008.htm,Pass,8-K,2025-10-09,27,https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000119312525235819/agen-20251008.htm,0.415969,0.42,9534000.0,9534000.0,22920000.0,22920000.0,interim,2025-08-11 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000095017025106633/agen-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1098972/000095017025106633/agen-20250630.htm,38.0,<1q,10-Q,2025-08-11,86,https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000095017025106633/agen-20250630.htm,Pass,True,2025-08-12 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000119312525178237/d77473ds8.htm,Pass (Offering),S-8; S-3,,S-8,2025-08-12,85,https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000119312525178237/d77473ds8.htm,2025-08-12 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000119312525178237/d77473ds8.htm; 2025-05-12 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000119312525117894/d904513ds3.htm,2025-04-30 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000095017025061030/agen-20250430.htm,Pass,DEF 14A,2025-04-30,189,https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000095017025061030/agen-20250430.htm,2025-04-30 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000095017025061030/agen-20250430.htm,2025-04-30 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1098972/000095017025061030/agen-20250430.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
AIRJ,AirJoule Technologies Corporation,Industrials,0001855474,4.74,307141165.0,219373.1,424B3,2025-08-14,83,Earnings/Financial update,2025-08-14 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025108487/airj-20250630.htm,Pass,10-Q,2025-08-14,83,https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025108487/airj-20250630.htm,34.573847,34.57,37400000.0,37400000.0,1081742.5,1081742.5,interim,2025-08-14 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025108487/airj-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1855474/000095017025108487/airj-20250630.htm,3111.0,>12q,10-Q,2025-08-14,83,https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025108487/airj-20250630.htm,Pass,True,2025-08-14 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025109071/pro_sup_sticker_286145_n.htm,Pass (Offering),424B3,,424B3,2025-08-14,83,https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025109071/pro_sup_sticker_286145_n.htm,2025-08-14 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025109071/pro_sup_sticker_286145_n.htm; 2025-08-14 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025109056/pro_sup_sticker_278633_n.htm; 2025-05-14 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025071634/sticker_for_cef_s-1_v2.htm; 2025-05-05 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000121390025039770/ea0240937-424b3_airjoule.htm; 2025-04-29 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000121390025036820/ea0239876-424b3_airjoule.htm; 2025-01-14 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000121390025003106/ea0227504-424b3_airjoule.htm,2025-04-16 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025054710/airj-20250416.htm,Pass,DEF 14A,2025-04-16,203,https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025054710/airj-20250416.htm,2025-04-16 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025054710/airj-20250416.htm,2025-04-16 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1855474/000095017025054710/airj-20250416.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
AISPW,"Airship AI Holdings, Inc.",Technology,0001842566,1.34,47774802.0,66955.1,S-3,2025-10-28,8,TBD,2025-10-28 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012293/airsp_s3.htm,Pass,S-3,2025-10-28,8,https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012293/airsp_s3.htm,3.218456,3.22,6306274.0,6306274.0,1959409.5,1959409.5,interim,2025-08-05 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425009056/airsp_10q.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1842566/000165495425009056/airsp_10q.htm,290.0,3-6q,10-Q,2025-08-05,92,https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425009056/airsp_10q.htm,Pass,True,2025-10-28 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012293/airsp_s3.htm,Pass (Offering),S-3; 424B5; 424B3,,S-3,2025-10-28,8,https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012293/airsp_s3.htm,2025-10-28 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012293/airsp_s3.htm; 2025-04-23 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425004574/airsp_424b5.htm; 2025-04-08 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425003986/airsp_424b3.htm; 2025-03-10 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425002555/airsp_s3.htm; 2025-02-03 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425001093/airsp_424b3.htm; 2025-01-23 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425000687/airsp_s3.htm; 2024-11-22 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495424014837/airsp_424b3.htm; 2024-11-20 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495424014707/airsp_424b3.htm,2025-10-27 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012247/airsp_def14a.htm,Pass,DEF 14A,2025-10-27,9,https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012247/airsp_def14a.htm,2025-10-27 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012247/airsp_def14a.htm; 2024-11-12 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495424014184/airsp_def14a.htm,2025-10-27 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1842566/000165495425012247/airsp_def14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
